"k","e1","e2","e3","e4"
0.07722903685804211,"-1.5301208229984264","-1.5112379916558971","-1.3837373867293454","1.4043356511111458"
0.08237763931524494,"-1.4966700817240135","-1.4747550147724287","-1.3641777624759648","1.38784002952979"
0.08752624177244778,"-1.4644200959423297","-1.4387044394333184","-1.3438493219063639","1.3713448703162805"
0.09267484422965055,"-1.433574348048167","-1.403086284386303","-1.3225485826257497","1.3548501922183591"
0.09782344668685328,"-1.4043407444805571","-1.3679005693679265","-1.3000676381950924","1.3383560149725682"
0.10297204914405617,"-1.376880255268779","-1.3331473151683932","-1.2762455185851094","1.321862359369114"
0.108120651601259,"-1.3512444552481544","-1.2988265437015596","-1.2510306489604823","1.3053692473218492"
0.11326925405846172,"-1.3273408510127964","-1.2649382780805116","-1.2245155227270978","1.2888767019438603"
0.11841785651566455,"-1.3049555982525296","-1.2314825426992793","-1.196913984195129","1.272384747629181"
0.12356645897286739,"-1.2838172943501847","-1.1984593633212641","-1.1684974359817468","1.2558934101412107"
0.12871506143007017,"-1.2636588641005142","-1.165868767175022","-1.1395329532921994","1.2394027167085042"
0.133863663887273,"-1.2442522525650639","-1.133710783058131","-1.1102485910649391","1.2229126961286405"
0.13901226634447578,"-1.2254176589007262","-1.1019854414499461","-1.0808241501430753","1.2064233788809748"
0.1441608688016786,"-1.2070190846563185","-1.0706927746341315","-1.0513956289777888","1.1899347972491714"
0.14930947125888144,"-1.188955488681105","-1.0398328168319753","-1.0220640687198168","1.1734469854545184"
0.15445807371608422,"-1.1711520919264493","-1.0094056043476005","-0.9929042484177963","1.156959979801137"
0.15960667617328705,"-1.1535533206117883","-0.9794111757263199","-0.963971741852288","1.1404738188343428"
0.1647552786304899,"-1.1361175199208489","-0.949849571927555","-0.9353082038395671","1.1239885435135566"
0.16990388108769267,"-1.1188131320040355","-0.9207208365138675","-0.9069451922292284","1.107504197401338"
0.17505248354489544,"-1.1016159702418413","-0.892025015857909","-0.8789068936407793","1.09102082687034"
0.18020108600209822,"-1.0845072794516237","-0.8637621593692636","-0.8512120632568617","1.0745384813301468"
0.18534968845930105,"-1.0674723495738712","-0.8359323197434592","-0.823875411136987","1.0580572134762878"
0.19049829091650383,"-1.0504995172560905","-0.8085355532356975","-0.796908600633649","1.041577079563963"
0.19564689337370667,"-1.033579439917146","-0.781571919962196","-0.7703209743279826","1.0250981397093886"
0.2007954958309095,"-1.0167045624239166","-0.7550414842324422","-0.7441200873531099","1.0086204582220542"
0.20594409828811228,"-0.9998687210822488","-0.7289443149160968","-0.7183121034031841","0.9921441039716203"
0.21109270074531505,"-0.9830668464665672","-0.7032804858488206","-0.6929020919037802","0.975669150793747"
0.21624130320251783,"-0.966294738118119","-0.6780500762819068","-0.6678942533136515","0.959195677939728"
0.22138990565972066,"-0.9495488920402473","-0.6532531713813066","-0.643292091629454","0.9427237705755145"
0.2265385081169235,"-0.9328263673763167","-0.6288898627824718","-0.6190985477078235","0.9262535203365577"
