"k","b1","b2","b3","b4"
0.0,"-1.1582439540405276e-16","1.1036807159622466e-16","1.0800940571867191e-16","-1.0924465625109627e-16"
0.005148602457202833,"-1.1557526438918196e-16","1.1036692935723014e-16","1.089465408866426e-16","-1.1034750619360665e-16"
0.010297204914405667,"-2.1114350668535187e-16","2.18279230442114e-16","2.155268598546336e-16","-2.1865825673400295e-16"
0.015445807371608444,"-1.149354494856142e-16","1.128175027960185e-16","1.1079293611641575e-16","-1.126213418757986e-16"
0.020594409828811278,"-1.1452185938420442e-16","1.1281617271287468e-16","1.1168793706003243e-16","-1.137937442563747e-16"
0.025743012286014055,"-2.0872956211527934e-16","2.256304688914044e-16","2.2077259423986792e-16","-2.255588710023994e-16"
0.03089161474321689,"-1.1342230180808587e-16","1.1526631112960042e-16","1.1336706567374824e-16","-1.1621328507121306e-16"
0.03604021720041972,"-1.126852598845322e-16","1.1771775294270825e-16","1.1411777525646889e-16","-1.1746202720119728e-16"
0.0411888196576225,"-2.2370254369826705e-16","2.329802758601474e-16","2.2513930899646615e-16","-2.3290891360676965e-16"
0.04633742211482522,"-1.106371612445375e-16","1.2016735114278083e-16","1.1530893537347406e-16","-1.2004172761401585e-16"
0.05148602457202811,"-1.0920012411590306e-16","1.2016551468953108e-16","1.156648459749868e-16","-1.2137450852646028e-16"
0.056634627029230944,"-2.149936082373829e-16","2.403283616854456e-16","2.2709984719830144e-16","-2.4075372476069277e-16"
0.061783229486433666,"-1.0498244931000394e-16","1.2506742828959972e-16","1.155480449628612e-16","-1.2413079788519258e-16"
0.0669318319436365,"-1.0186223932840868e-16","1.2506525033093661e-16","1.1484596295928416e-16","-1.255563865117295e-16"
0.07208043440083933,"-9.772533114276125e-17","1.2751587228921033e-16","1.1348419248891999e-16","-1.2701507153431313e-16"
0.07722903685804211,"-1.2870421617111226e-16","1.275134301393814e-16","1.1121077709495845e-16","-1.2850801773851116e-16"
0.08237763931524494,"-1.204967097092819e-16","1.2996374378832997e-16","1.0770305683188568e-16","-1.3003644514254028e-16"
0.08752624177244778,"-4.025498499194704e-17","1.3241388020291712e-16","1.0259441076223119e-16","-1.316016323052786e-16"
0.09267484422965055,"-2.8806245362621644e-17","1.3241096072710916e-16","9.556988968728068e-17","-1.3320491987449112e-16"
0.09782344668685328,"-1.4548931915514983e-17","1.3486071962466738e-16","-7.429738767809055e-18","-1.3484771439582894e-16"
0.10297204914405617,"-2.846570765377948e-17","1.9860875290993967e-16","6.3883543438044134e-18","-1.9954602736143585e-16"
0.108120651601259,"-3.3667635261395404e-17","1.3730675274556715e-16","7.34489674637377e-18","-1.38257804829314e-16"
0.11326925405846172,"-1.089694754891275e-17","1.397558289438774e-16","-7.900059650766006e-18","-1.4002828172191515e-16"
0.11841785651566455,"1.0291761582142914e-17","1.4220463694992305e-16","-8.62642134842599e-17","-1.4184463736563232e-16"
0.12356645897286739,"1.0768547228004784e-16","1.446531564274965e-16","-9.980229240881155e-17","-1.4370867577299698e-16"
0.12871506143007017,"1.1599565153278786e-16","1.4464862611222706e-16","-1.1041040936458756e-16","-1.4562229662329307e-16"
0.133863663887273,"1.2297125014515512e-16","1.470965222299885e-16","-1.1860346838094825e-16","-1.4758750167601837e-16"
0.13901226634447578,"1.2889304094826475e-16","1.495440583777656e-16","-1.249175172979681e-16","-1.4960640170607795e-16"
0.1441608688016786,"1.3401690466905882e-16","1.5199120584686312e-16","-1.2980922772049804e-16","-1.516812240107745e-16"
0.14930947125888144,"1.3855019160321951e-16","1.5198529017860034e-16","-1.336343868431071e-16","-1.5381432054420976e-16"
0.15445807371608422,"1.4265225775184687e-16","1.568842061455233e-16","-1.3665895748456187e-16","-1.5600817674095932e-16"
0.15960667617328705,"1.4644292559651552e-16","1.5687740026690965e-16","-1.3907843040824833e-16","-1.5826542109793409e-16"
0.1647552786304899,"1.5001184101734895e-16","1.6177523401006437e-16","-1.4103597862865382e-16","-1.6058883559129922e-16"
0.16990388108769267,"7.671319654460198e-17","8.3336212745184e-17","-7.131842215022683e-17","-8.149068350716546e-17"
0.17505248354489544,"1.5673778962418478e-16","1.6666394088913948e-16","-1.439589785685138e-16","-1.6544613933229784e-16"
0.18020108600209822,"1.5998552279327201e-16","1.6665484275665873e-16","-1.450606762226418e-16","-1.6798646716203694e-16"
0.18534968845930105,"8.160029673890646e-17","8.33225383328649e-17","-7.299299572009816e-17","-8.530293524853764e-17"
0.19049829091650383,"1.6640782811028932e-16","1.715393279280775e-16","-1.4676857349830587e-16","-1.7330809081414976e-16"
0.19564689337370667,"1.6962754759758294e-16","1.7643260965125831e-16","-1.4743439407550906e-16","-1.7609710871411363e-16"
0.2007954958309095,"8.643838897786082e-17","8.821013299665515e-17","-7.400184999367132e-17","-8.948858163489803e-17"
0.20594409828811228,"8.80850686640877e-17","9.310794593174093e-17","-7.424621170559874e-17","-9.09763866379104e-17"
0.21109270074531505,"1.7952049393784535e-16","1.8620131900947514e-16","-1.682364432463986e-16","-1.8502876062114257e-16"
0.21624130320251783,"1.8293946119576783e-16","1.8618557371661075e-16","-1.6861653144738052e-16","-1.8821027603467749e-16"
0.22138990565972066,"9.321888824436038e-17","9.798839798940308e-17","-9.415008950151586e-17","-9.575141374427426e-17"
0.2265385081169235,"1.9002559654067647e-16","1.9595808648318268e-16","-1.8859676457453437e-16","-1.9491231158289543e-16"
0.23168711057412628,"1.937127328185681e-16","1.9593779456897852e-16","-1.8885252044663785e-16","-1.9844504828185139e-16"
0.2368357130313291,"9.875442195903541e-17","1.0286159249177245e-16","-9.453612542331273e-17","-1.0105390971162154e-16"
0.2419843154885319,"1.007117986586544e-16","1.0284944795989781e-16","-9.462994634469265e-17","-1.0295395574308025e-16"
0.24713291794573472,"2.0546680971071252e-16","2.1057582770049637e-16","-2.0882615984752165e-16","-2.0985316317233037e-16"
0.25228152040293755,"1.0482428645706555e-16","1.0772499449353926e-16","-9.477561756269708e-17","-1.0697600922055308e-16"
0.25743012286014033,"1.0698968539110631e-16","1.0770902906295959e-16","-1.1425069134233549e-16","-1.0910679286807745e-16"
0.26257872531734316,"2.1847019150722924e-16","2.2028590958081995e-16","-2.0917222299950579e-16","-2.2264770425731487e-16"
0.267727327774546,"1.115663194719308e-16","1.1257496804593665e-16","-1.1433671379766416e-16","-1.1363250913349425e-16"
0.27287593023174883,"1.1398952306908556e-16","1.1745600049768862e-16","-1.1436358482855118e-16","-1.1603853029043458e-16"
0.27802453268895166,"2.3302259397155323e-16","2.3486461453616694e-16","-2.28760671417972e-16","-2.370963465827544e-16"
0.2831731351461545,"1.191387188615821e-16","1.223079528519102e-16","-1.1438727463711744e-16","-1.2116824016436035e-16"
0.28832173760335733,"1.2187942219175302e-16","1.271802335882268e-16","-1.1438458521473968e-16","-1.2390613728723845e-16"
0.29347034006056005,"1.247416718527517e-16","1.2714760267486058e-16","-1.1437233295620896e-16","-1.2676994344020268e-16"
0.2986189425177629,"1.2773444812740176e-16","1.2711140522620042e-16","-1.3379916229213067e-16","-1.2976848716646378e-16"
0.3037675449749657,"1.3086754106192303e-16","1.3687180423693516e-16","-1.3376883160161992e-16","-1.3291143494116435e-16"
0.30891614743216855,"1.9606780676325317e-16","1.9545355401173034e-16","-1.909599984097857e-16","-1.990752651236007e-16"
0.31406474988937133,"1.3759854156519864e-16","1.3677490284291723e-16","-1.3367638276929872e-16","-1.3967401742858312e-16"
0.31921335234657416,"1.4122111656050253e-16","1.4651530624649427e-16","-1.3361334179272004e-16","-1.433181575743364e-16"
0.32436195480377694,"1.4503364333269985e-16","1.4644973012134001e-16","-1.3353823730716356e-16","-1.4715599823227287e-16"
0.3295105572609798,"1.4905190773518828e-16","1.4637583497552525e-16","-1.5290077572920975e-16","-1.5120324179372362e-16"
0.3346591597181826,"1.5329343724011894e-16","1.5608604970575425e-16","-1.527977574961512e-16","-1.5547731218097632e-16"
0.33980776217538544,"1.5777775464800325e-16","1.559896659414647e-16","-1.5267916522446776e-16","-1.5999759335206826e-16"
0.3449563646325882,"1.6252667637830725e-16","1.6567031976543128e-16","-1.5254350594958278e-16","-1.6478570769051582e-16"
0.35010496708979105,"7.733753766196595e-17","7.791035011300004e-17","-7.631604718943808e-17","-7.839961940556446e-17"
0.3552535695469938,"1.7291924753686662e-16","1.751830374468018e-16","-1.71654318549143e-16","-1.7526513088814773e-16"
0.36040217200419655,"8.244069970653193e-17","8.754815936531734e-17","-7.614129993370894e-17","-8.354497299494833e-17"
0.3655507744613994,"1.8470672721578717e-16","1.845954985792042e-16","-1.9065608505936961e-16","-1.871472419499002e-16"
0.3706993769186022,"1.9121502807906794e-16","1.9414015868234517e-16","-1.9039142017002823e-16","-1.9370356947482909e-16"
0.37584797937580505,"9.147338651963001e-17","9.699425098327903e-17","-9.520503309504402e-17","-9.264344009926122e-17"
0.3809965818330079,"2.0569142510479251e-16","2.1307991208719724e-16","-2.091674323402837e-16","-2.0826948686122444e-16"
0.3861451842902107,"9.866457315606628e-17","9.666118195166745e-17","-9.486288948246016e-17","-9.987118892937737e-17"
0.39129378674741355,"1.0269626397033238e-16","9.644675221880098e-17","-9.465465354782643e-17","-1.0391457430408338e-16"
0.3964423892046164,"2.3198010287482717e-16","2.3116854844418154e-16","-2.2719579997312863e-16","-2.3462820044596186e-16"
0.4015909916618192,"1.1182386517522827e-16","1.1537111544782217e-16","-1.1352684027526726e-16","-1.1303825933695575e-16"
0.40673959411902205,"1.9502957770910495e-16","1.91627650516324e-16","-1.8866316199562276e-16","-1.970118958460749e-16"
0.41188819657622483,"1.227127199319375e-16","1.144929958858922e-16","-1.128155749342395e-16","-1.23852059561722e-16"
0.41703679903342766,"1.2898494342834768e-16","1.3332197983685792e-16","-1.3171731201572513e-16","-1.3003790154314059e-16"
0.4221854014906304,"1.3592682524483716e-16","1.3254306738106664e-16","-1.3117502025743e-16","-1.3684070183972554e-16"
0.42733400394783316,"1.4365161710985647e-16","1.3155847378020104e-16","-1.4984695050703072e-16","-1.4434970481974481e-16"
0.432482606405036,"1.5229966902844311e-16","1.496149637467686e-16","-1.4905765094566898e-16","-1.5266962633482201e-16"
0.43763120886223883,"8.102354799602495e-17","7.396141481839262e-17","-7.40529937640381e-17","-8.096149200017712e-17"
0.44277981131944166,"1.731180265841996e-16","1.45694682721564e-16","-1.469460399263711e-16","-1.7225212433855652e-16"
0.4479284137766445,"1.8580230684119387e-16","1.8092328413439554e-16","-1.8393274664064164e-16","-1.83820189258485e-16"
0.45307701623384733,"1.002408778766677e-16","1.0730864630735956e-16","-1.1020302388882253e-16","-9.840479567540299e-17"
