"k","b1","b2","b3","b4"
0.0,"8.787415239908114e-14","-8.787415239908114e-14","-1.164866814118426e-15","9.432287850080767e-16"
0.005148602457202833,"-1.6653345369377348e-16","4.996003610813204e-16","-9.43689570931383e-16","1.5553422265390804e-15"
0.010297204914405667,"-1.6653345369377348e-16","8.326672684688674e-16","-1.1058862159352145e-15","1.554881440615774e-15"
0.015445807371608444,"-7.610578833805448e-14","7.599476603559197e-14","-1.3704315460216776e-15","7.781861093014708e-16"
0.020594409828811278,"1.6653345369377348e-16","-6.106226635438361e-16","-1.0460382560140147e-15","1.7217537074884492e-15"
0.025743012286014055,"-1.6653345369377348e-16","1.6653345369377348e-16","-9.402201239794294e-16","1.1106838105484629e-15"
0.03089161474321689,"-1.6653345369377348e-16","0.0","-1.240327285323417e-15","1.7223906762647845e-15"
0.03604021720041972,"-2.220446049250313e-16","1.1102230246251565e-15","-1.2299189444675562e-15","6.114358151732002e-16"
0.0411888196576225,"-1.6653345369377348e-16","1.6653345369377348e-16","-1.2281842209915794e-15","1.1103721024238733e-15"
0.04633742211482522,"-4.568567746332519e-14","4.5852210917018965e-14","-1.1761425167122752e-15","1.1096267134302895e-15"
0.05148602457202811,"-5.551115123125783e-17","9.43689570931383e-16","-1.0477729794899915e-15","1.0550642390999565e-15"
0.056634627029230944,"-4.996003610813204e-16","1.6653345369377348e-16","-1.259409243559162e-15","1.1111445964717692e-15"
0.061783229486433666,"-5.551115123125783e-17","9.43689570931383e-16","-1.033895191682177e-15","1.1095996083759774e-15"
0.0669318319436365,"-2.8699265186560297e-14","2.8255175976710234e-14","-1.1587952819525071e-15","9.44258777071938e-16"
0.07208043440083933,"-2.7755575615628914e-16","9.43689570931383e-16","-7.632783294297951e-16","7.764784908798061e-16"
0.07722903685804211,"-1.1102230246251565e-16","0.0","-8.881784197001252e-16","1.6106636423901532e-15"
0.08237763931524494,"-1.7041923427996153e-14","1.6486811915683575e-14","-1.5265566588595902e-16","7.765055959341183e-16"
0.08752624177244778,"-4.996003610813204e-16","-1.1102230246251565e-16","-1.0130785099704553e-15","9.435269406055102e-16"
0.09267484422965055,"-6.106226635438361e-16","7.771561172376096e-16","-8.326672684688674e-16","1.2775154198396699e-15"
0.09782344668685328,"-4.996003610813204e-16","0.0","-7.771561172376096e-16","9.447737731038686e-16"
0.10297204914405617,"-6.439293542825908e-15","2.4980018054066022e-15","2.609024107869118e-15","1.2770004238077393e-15"
0.108120651601259,"-8.881784197001252e-16","1.1102230246251565e-16","2.7755575615628914e-16","4.446042058819932e-16"
0.11326925405846172,"-6.106226635438361e-16","1.6653345369377348e-16","-3.885780586188048e-16","1.1119848531554455e-15"
